student_id,attendance_percent,study_hours_per_week,motivation_level,stress_level,online_activity_hours,assignment_score
S01,79,12,6.8,3.1,5.5,81
S02,88,16,5.3,5.6,6.4,83
S03,74,12,4.7,3.0,4.8,78
S04,94,15,8.4,5.5,4.1,87
S05,78,15,7.5,8.0,5.0,79
S06,85,20,7.2,8.5,5.3,84
S07,77,5,9.3,3.5,5.0,75
S08,78,14,4.1,2.7,6.0,81
S09,85,18,6.4,8.2,4.7,82
S10,82,15,8.5,3.6,4.1,82
S11,84,18,1.7,6.5,2.3,82
S12,92,14,9.5,5.7,8.3,73
S13,84,9,6.0,7.5,5.3,77
S14,74,18,2.5,7.4,6.1,78
S15,63,4,4.0,7.3,8.3,56
S16,86,19,8.0,6.8,3.9,83
S17,84,28,6.1,6.4,6.1,89
S18,81,14,7.9,3.4,6.8,81
S19,85,19,8.6,3.7,3.2,86
S20,69,4,0.8,7.7,5.0,66
S21,96,19,3.2,3.0,5.1,88
S22,78,16,0.5,7.7,2.4,71
S23,63,3,0.4,6.8,6.0,56
S24,72,8,0.2,3.5,3.4,62
S25,76,4,8.3,7.6,4.0,73
S26,78,9,2.4,1.9,2.0,78
S27,74,7,2.1,3.4,3.8,75
S28,94,25,10.0,1.1,5.0,94
S29,77,9,2.1,8.9,4.5,73
S30,88,21,7.2,1.3,1.4,90
S31,76,3,6.6,6.0,4.7,73
S32,88,11,5.0,6.0,4.5,81
S33,83,14,9.5,3.9,4.4,82
S34,85,14,9.2,7.6,3.7,81
S35,90,18,7.4,3.7,2.6,87
S36,83,8,8.7,7.4,5.5,78
S37,60,3,0.3,3.2,8.2,55
S38,80,14,1.5,5.4,4.9,78
S39,94,21,8.0,3.2,5.9,90
S40,86,12,1.7,2.7,5.2,81
S41,91,7,6.1,2.3,6.3,82
S42,74,4,0.9,8.3,1.9,68
S43,80,9,9.7,4.0,4.2,78
S44,74,12,9.6,8.0,3.4,76
S45,65,5,2.6,7.6,3.3,68
S46,71,4,6.3,5.1,3.8,72
S47,80,19,4.2,7.9,5.1,80
S48,87,7,9.3,2.9,4.2,81
S49,65,12,1.3,3.6,2.5,73
S50,83,13,6.0,1.5,3.2,83
S51,62,9,3.6,7.3,2.7,70
S52,67,11,3.3,2.7,4.8,75
S53,69,19,2.5,6.1,4.9,77
S54,88,19,8.7,4.2,6.9,86
S55,72,14,8.5,9.3,2.3,75
S56,86,13,5.0,2.2,4.0,83
S57,83,15,2.4,0.1,3.5,83
S58,68,5,5.0,5.2,7.9,63
S59,75,5,6.2,3.5,2.8,74
S60,74,4,0.5,8.3,3.2,63
S61,91,6,3.4,8.2,4.4,78
S62,75,20,4.8,6.1,3.8,80
S63,70,9,2.4,7.5,6.4,71
S64,89,15,6.1,2.9,2.4,85
S65,86,10,8.6,7.6,5.9,79
S66,89,6,1.1,3.2,4.3,80
S67,72,10,0.9,2.5,3.1,74
S68,89,17,9.6,2.5,1.1,87
S69,75,12,6.9,3.8,4.5,78
S70,98,14,5.2,6.3,4.4,86
S71,90,18,8.1,7.6,3.4,85
S72,69,6,1.0,3.5,2.5,72
S73,77,12,2.0,5.0,4.1,76
S74,81,14,8.0,5.1,4.0,81
S75,87,19,8.8,2.9,3.4,86
S76,94,26,7.9,3.3,5.1,92
S77,77,10,4.4,3.3,5.3,77
S78,91,17,4.7,3.4,5.3,86
S79,73,18,5.7,5.9,2.6,79
S80,93,14,4.1,8.3,5.2,82
